,id,executedOn,croppableAreaId,croppableAreaName,IsSoilmoi4,PlantHeig3,WaterHeig0,FieldPhot1hldr,FieldPhot2hldr,Soilmoist5hldr,Date,executedOn_time,Photo1_link,Photo2_link
10,39301,2023-08-02T03:57:19.235Z,19165,Field 94,Yes,19.0,10.0,compress1690948684541.jpg,compress1690948696621.jpg,"[{'size': 3089091, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': 'df278880-30e8-11ee-a440-93ca60ecc849', 'originalFileName': 'compress1690948720827.jpg'}]",2023-08-02,03:57:19.235000,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1690948684541.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1690948696621.jpg
11,39465,2023-08-02T05:21:53.899Z,20061,Field 61,Yes,39.0,5.0,compress1690953747430.jpg,compress1690953759162.jpg,"[{'size': 2522637, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': 'c1afee30-30f4-11ee-9d25-9583ed7a95a7', 'originalFileName': '1690953824324.jpg'}]",2023-08-02,05:21:53.899000,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1690953747430.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1690953759162.jpg
12,39466,2023-08-02T05:42:37.703Z,20073,Field 73,Yes,36.0,11.0,compress1690954971553.jpg,compress1690954980344.jpg,"[{'size': 2733345, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '87d913f0-30f7-11ee-b6c3-ed201b54c0b9', 'mobileAPIHldr': 'data.customAttributesEntered.Soilmoist5hldr', 'originalFileName': '1690955015120.jpg'}]",2023-08-02,05:42:37.703000,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1690954971553.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1690954980344.jpg
13,39501,2023-08-02T04:09:24.172Z,19153,Field 82,,21.0,10.0,1690949374404.jpg,1690949384321.jpg,,2023-08-02,04:09:24.172000,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/1690949374404.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/1690949384321.jpg
1514,223703,2023-08-02T12:00:00Z,19459,Field 138,,38.0,2.0,,,,2023-08-02,12:00:00,,
18,44401,2023-08-03T08:34:46.051Z,20064,Field 64,Yes,48.0,10.0,compress1691051827411.jpg,compress1691051836442.jpg,"[{'size': 5295759, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '23d83420-31d9-11ee-9b0b-1d163a6d321b', 'originalFileName': 'compress1691051915718.jpg'}]",2023-08-03,08:34:46.051000,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691051827411.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691051836442.jpg
14,43214,2023-08-03T07:15:26.385Z,20071,Field 71,Yes,27.0,15.0,compress1691047015211.jpg,compress1691047028550.jpg,"[{'size': 6779017, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': 'd6ff8230-31cd-11ee-a243-355d414be310', 'originalFileName': 'compress1691047063621.jpg'}, {'size': 6653182, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': 'dd17df50-31cd-11ee-9b70-8354b13763af', 'originalFileName': 'compress1691047071660.jpg'}]",2023-08-03,07:15:26.385000,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691047015211.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691047028550.jpg
15,43215,2023-08-03T07:32:24.557Z,20069,Field 69,Yes,26.0,14.0,compress1691048038438.jpg,compress1691048050996.jpg,"[{'size': 2803894, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': 'f7387e10-31cf-11ee-a4ea-49791f596818', 'originalFileName': '1691047974080.jpg'}]",2023-08-03,07:32:24.557000,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691048038438.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691048050996.jpg
17,43903,2023-08-04T06:34:43.879Z,19167,Field 96,,32.0,,compress1691130956125.jpg,compress1691130971620.jpg,,2023-08-04,06:34:43.879000,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691130956125.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691130971620.jpg
16,43230,2023-08-04T06:37:42.188Z,19154,Field 83,,28.0,5.0,compress1691131075184.jpg,compress1691131087876.jpg,,2023-08-04,06:37:42.188000,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691131075184.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691131087876.jpg
